Compound,SMILE,FP-2 IC50 (uM),FP-2 pIC50 (uM)
118,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5ccc(F)cc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.67,6.173925197299173
119,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5ccccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.89,6.050609993355088
120,COc1ccc2nc(C)cc(N\N=C\c3ccc(O[C@H]4O[C@@H]5O[C@@]6(C)CC[C@H]7[C@H](C)CC[C@@H]([C@H]4C)[C@@]57OO6)cc3)c2c1,0.29,6.537602002101044
121,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5ccc(Br)cc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.26,6.585026652029182
122,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5cc(Cl)ccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.17,6.769551078621726
123,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5c(C)c(C)ccc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.84,6.075720713938118
124,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](Oc3ccc(\C=N\Nc4cc(C)nc5ccc(C)cc45)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0.78,6.107905397309519
125,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(O)=O)C(=O)NCCCCN=C(N)N,0.02,7.698970004336019
127,CC(=NNC(N)=S)c1ccc(cc1)-c1ccccc1,10.0,5.0
139,[O-][N+](=O)c1ccc2NC(=O)C(=O)c2c1,42.6,4.370590400897281
142,NC(=S)N=Nc1c(O)[nH]c2ccccc12,38.8,4.411168274405793
143,Cc1ccc2[nH]c(O)c(N=NC(S)=N)c2c1,43.9,4.357535479757878
144,NC(=S)N=Nc1c(O)[nH]c2ccc(F)cc12,38.6,4.413412695328245
145,NC(=S)N=Nc1c(O)[nH]c2ccc(Cl)cc12,32.8,4.484126156288321
146,NC(=S)N=Nc1c(O)[nH]c2ccc(Br)cc12,29.6,4.528708288941061
147,NC(=S)N=Nc1c(O)[nH]c2ccc(I)cc12,28.7,4.542118103266008
148,NC(=S)N=Nc1c(O)[nH]c2ccc(cc12)[N+]([O-])=O,4.4,5.356547323513812
149,Cc1cc(C)c2[nH]c(O)c(N=NC(S)=N)c2c1,13.2,4.87942606879415
150,Cc1cc(Cl)cc2c(N=NC(S)=N)c(O)[nH]c12,9.4,5.026872146400302
151,CN1C(=O)C(=O)c2ccccc12,51.0,4.292429823902063
152,O=C1N(c2ccccc2C1=O)c1ccccc1,51.0,4.292429823902063
153,O=C1N(Cc2ccccc2)c2ccccc2C1=O,51.0,4.292429823902063
154,O=C1N(c2ccccc2C1=O)S(=O)(=O)c1ccccc1,51.0,4.292429823902063
155,O=C(N1C(=O)C(=O)c2ccccc12)c1ccccc1,51.0,4.292429823902063
156,O=C(OCc1ccccc1)N1C(=O)C(=O)c2ccccc12,51.0,4.292429823902063
157,Cc1ccc2N(Cc3cc(C)ccc3C)C(=O)C(=O)c2c1,51.0,4.292429823902063
158,Cc1ccc2N(Cc3ccc(Cl)cc3)C(=O)C(=O)c2c1,51.0,4.292429823902063
159,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc23)c1,20.9,4.679853713888946
160,Cc1ccc2N(Cc3ccccc3-c3ccccc3)C(=O)C(=O)c2c1,9.2,5.036212172654444
161,Clc1ccc(CN2C(=O)C(=O)c3cc(Cl)ccc23)cc1,31.2,4.505845405981558
162,COc1cccc(CN2C(=O)C(=O)c3cc(Cl)ccc23)c1,34.6,4.460923901207224
163,Clc1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1,46.9,4.328827157284917
